SMILES,Idx,FID
[16*]c1ccc2c(c1)c1cc([16*])cc3c4cc([16*])ccc4n2c13,0,215
[16*]c1ccc2c(c1)c1cc([16*])cc3c4cc([16*])ccc4n2c13,10,185
[16*]c1ccc2c(c1)c1cc([16*])cc3c4cc([16*])ccc4n2c13,16,215
[14*]c1cc(C#N)cc([14*])n1,0,162
[14*]c1cc(C#N)cc([14*])n1,8,162
[16*]c1ccc2nsnc2c1,0,115
[5*]N1CCCCCC1,0,571
[16*]c1cc([16*])c([16*])c(C#N)c1[16*],0,27
[16*]c1cc([16*])c([16*])c(C#N)c1[16*],4,27
[16*]c1cc([16*])c([16*])c(C#N)c1[16*],6,21
[16*]c1cc([16*])c([16*])c(C#N)c1[16*],11,21
[16*]c1ccc(S(=O)(=O)c2ccccc2[16*])cc1,0,46
[16*]c1ccc(S(=O)(=O)c2ccccc2[16*])cc1,14,165
[8*]CCCCCCCCCCC,0,125
[14*]c1sc2c(sc3c([16*])c(C4=CC5Sc6ccsc6C5S4)sc32)c1[16*],0,541
[14*]c1sc2c(sc3c([16*])c(C4=CC5Sc6ccsc6C5S4)sc32)c1[16*],8,472
[14*]c1sc2c(sc3c([16*])c(C4=CC5Sc6ccsc6C5S4)sc32)c1[16*],24,539
[14*]c1cc2sc3ccsc3c2s1,0,57
[16*]c1ccc(B(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)cc1,0,88
[14*]c1nc2cc(F)c(F)cc2nc1[14*],0,350
[14*]c1nc2cc(F)c(F)cc2nc1[14*],13,350
[5*]N1c2ccccc2C(C)(CC)c2ccccc21,0,584
[16*]c1cc([16*])c2ccc3c([16*])cc([16*])c4ccc1c2c43,0,20
[16*]c1cc([16*])c2ccc3c([16*])cc([16*])c4ccc1c2c43,4,20
[16*]c1cc([16*])c2ccc3c([16*])cc([16*])c4ccc1c2c43,10,20
[16*]c1cc([16*])c2ccc3c([16*])cc([16*])c4ccc1c2c43,13,20
[5*]N1c2ccc([16*])cc2SC2C=CC=CC21,0,515
[5*]N1c2ccc([16*])cc2SC2C=CC=CC21,6,522
[16*]c1cccc2nc3ccccc3cc12,0,269
[9*]n1c([14*])nc2ccccc21,0,54
[9*]n1c([14*])nc2ccccc21,3,59
[16*]c1c2c3c(ccc([N+](=O)[O-])c3c3cc4ccccc4cc13)N(C)C2=O,0,554
[16*]c1cc([16*])c(B2c3ccccc3Oc3cc([16*])ccc32)c([16*])c1,0,311
[16*]c1cc([16*])c(B2c3ccccc3Oc3cc([16*])ccc32)c([16*])c1,4,210
[16*]c1cc([16*])c(B2c3ccccc3Oc3cc([16*])ccc32)c([16*])c1,17,326
[16*]c1cc([16*])c(B2c3ccccc3Oc3cc([16*])ccc32)c([16*])c1,22,210
[16*]c1cccc2c1oc1ccccc12,0,75
[16*]c1ccc2c(c1)-c1cc([16*])ccc1P2(=O)c1ccccc1,0,93
[16*]c1ccc2c(c1)-c1cc([16*])ccc1P2(=O)c1ccccc1,10,93
[9*]n1c([14*])nc2c3cccc4ccc5cccc(c5c43)c21,0,207
[9*]n1c([14*])nc2c3cccc4ccc5cccc(c5c43)c21,3,181
[16*]c1cccc(P(=O)(c2ccccc2)c2ccccc2)c1,0,112
[16*]c1ccc2c(oc3cc(P(=O)(c4ccccc4)c4ccccc4)ccc32)c1P(=O)(c1ccccc1)c1ccccc1,0,279
[16*]c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21,0,494
[16*]c1ccc([16*])c2ccccc12,0,41
[16*]c1ccc([16*])c2ccccc12,5,41
[9*]n1c2c(C)cc(C)cc2c2cc(C)cc(C)c21,0,192
[5*]N1c2ccc([16*])cc2B(c2c([16*])cc([16*])cc2[16*])c2cc([16*])ccc21,0,143
[5*]N1c2ccc([16*])cc2B(c2c([16*])cc([16*])cc2[16*])c2cc([16*])ccc21,6,80
[5*]N1c2ccc([16*])cc2B(c2c([16*])cc([16*])cc2[16*])c2cc([16*])ccc21,12,82
[5*]N1c2ccc([16*])cc2B(c2c([16*])cc([16*])cc2[16*])c2cc([16*])ccc21,15,148
[5*]N1c2ccc([16*])cc2B(c2c([16*])cc([16*])cc2[16*])c2cc([16*])ccc21,18,82
[5*]N1c2ccc([16*])cc2B(c2c([16*])cc([16*])cc2[16*])c2cc([16*])ccc21,22,80
[5*]N1c2ccccc2C(c2ccccc2)(c2ccccc2)c2ccccc21,0,35
[7*]=Cc1ccsc1C=[7*],0,280
[7*]=Cc1ccsc1C=[7*],8,318
[5*]N1c2ccc([16*])cc2C(C)(C)c2cc([16*])ccc21,0,6
[5*]N1c2ccc([16*])cc2C(C)(C)c2cc([16*])ccc21,6,47
